period,signal,base_rate,alerts,precision,lift,recall
验证2013-2019,60日涨>=15%,0.011061946902654867,181,0.04419889502762431,3.9955801104972375,0.5333333333333333
验证2013-2019,代理宽度<=40%,0.011061946902654867,364,0.0027472527472527475,0.24835164835164839,0.06666666666666667
验证2013-2019,相对弱<=-2%,0.011061946902654867,61,0.01639344262295082,1.481967213114754,0.06666666666666667
验证2013-2019,短波动加速,0.011061946902654867,73,0.0,0.0,0.0
验证2013-2019,融资20日增>=8%,0.011061946902654867,383,0.015665796344647518,1.4161879895561356,0.4
验证2013-2019,上涨+宽度弱,0.011061946902654867,5,0.0,0.0,0.0
验证2013-2019,宽度弱+波动加速,0.011061946902654867,28,0.0,0.0,0.0
测试2020-2026,60日涨>=15%,0.007965242577842143,75,0.02666666666666667,3.347878787878788,0.18181818181818182
测试2020-2026,代理宽度<=40%,0.007965242577842143,593,0.011804384485666104,1.4819868158822627,0.6363636363636364
测试2020-2026,相对弱<=-2%,0.007965242577842143,75,0.0,0.0,0.0
测试2020-2026,短波动加速,0.007965242577842143,65,0.015384615384615385,1.9314685314685316,0.09090909090909091
测试2020-2026,融资20日增>=8%,0.007965242577842143,88,0.022727272727272728,2.853305785123967,0.18181818181818182
测试2020-2026,上涨+宽度弱,0.007965242577842143,23,0.0,0.0,0.0
测试2020-2026,宽度弱+波动加速,0.007965242577842143,33,0.030303030303030304,3.8044077134986227,0.09090909090909091
全样本,60日涨>=15%,0.011154720099153068,743,0.033647375504710635,3.01642490404267,0.46296296296296297
全样本,代理宽度<=40%,0.011154720099153068,1536,0.0078125,0.7003761574074074,0.2222222222222222
全样本,相对弱<=-2%,0.011154720099153068,200,0.02,1.792962962962963,0.07407407407407407
全样本,短波动加速,0.011154720099153068,273,0.01098901098901099,0.9851444851444852,0.05555555555555555
全样本,融资20日增>=8%,0.011154720099153068,735,0.014965986394557823,1.3416729654824893,0.2037037037037037
全样本,上涨+宽度弱,0.011154720099153068,64,0.015625,1.4007523148148149,0.018518518518518517
全样本,宽度弱+波动加速,0.011154720099153068,96,0.020833333333333332,1.8676697530864197,0.037037037037037035
