market,first_trigger,peak_date,trough_date,peak_to_trough_pct,worst_1d_pct,worst_3d_pct,worst_5d_pct
A,2000-01-11,2000-01-10,2000-01-14,-8.82,-4.23,-7.81,-7.23
A,2000-03-16,2000-03-03,2000-03-16,-7.51,-4.4,-7.02,-7.21
A,2001-07-30,2001-06-13,2001-08-06,-16.07,-5.27,-8.29,-10.12
A,2001-10-22,2001-06-26,2001-10-22,-31.92,-3.29,-7.45,-9.87
A,2001-11-07,2001-07-20,2001-11-07,-26.87,-4.62,-5.75,-5.97
A,2002-01-15,2001-09-21,2002-01-22,-24.81,-6.33,-7.61,-9.95
A,2006-06-07,2006-06-05,2006-06-14,-9.1,-5.33,-7.61,-7.83
A,2006-07-13,2006-07-11,2006-07-19,-5.77,-4.84,-4.62,-5.45
A,2007-01-31,2007-01-24,2007-02-05,-12.19,-4.92,-8.78,-11.3
A,2007-02-27,2007-02-26,2007-02-27,-8.84,-8.84,-8.01,-8.4
A,2007-04-19,2007-04-18,2007-04-19,-4.52,-4.52,-4.1,-2.32
A,2007-05-30,2007-05-29,2007-06-04,-15.33,-8.26,-9.44,-14.08
A,2007-06-28,2007-05-29,2007-07-05,-16.59,-5.25,-6.09,-7.62
A,2007-09-11,2007-09-06,2007-09-11,-5.19,-4.51,-5.19,-3.4
A,2007-10-25,2007-10-16,2007-11-28,-21.15,-4.85,-7.39,-9.88
A,2008-01-21,2007-10-16,2008-02-01,-29.08,-7.22,-11.49,-16.24
A,2008-02-25,2008-01-14,2008-03-10,-24.58,-4.07,-8.2,-9.14
A,2008-03-18,2008-01-14,2008-04-18,-43.71,-5.62,-7.61,-11.93
A,2008-05-07,2008-01-25,2008-05-26,-29.34,-4.48,-5.34,-6.66
A,2008-06-10,2008-03-06,2008-07-01,-39.2,-7.73,-11.18,-14.41
A,2008-08-08,2008-05-05,2008-08-18,-38.32,-5.34,-9.91,-10.65
A,2008-09-16,2008-07-09,2008-11-04,-41.56,-6.32,-9.1,-12.78
A,2008-11-18,2008-08-01,2008-11-28,-33.22,-6.31,-5.97,-6.57
A,2008-12-23,2008-09-25,2008-12-31,-20.75,-4.55,-7.66,-8.27
A,2009-02-18,2009-02-16,2009-03-03,-13.31,-4.72,-8.0,-9.21
A,2009-07-29,2009-08-04,2009-08-31,-23.15,-6.74,-10.1,-11.67
A,2010-04-19,2010-01-05,2010-05-04,-13.62,-4.79,-5.87,-5.75
A,2010-05-06,2010-04-14,2010-05-20,-19.27,-5.07,-5.54,-7.05
A,2010-06-29,2010-04-14,2010-07-05,-25.34,-4.27,-6.37,-7.52
A,2010-11-12,2010-11-08,2010-11-30,-10.74,-5.16,-8.04,-8.97
A,2013-06-24,2013-02-28,2013-06-27,-17.57,-5.3,-8.41,-9.25
A,2014-12-09,2014-12-08,2014-12-09,-5.43,-5.43,-3.13,-2.21
A,2015-01-19,2015-01-16,2015-01-19,-7.7,-7.7,-5.37,-7.53
A,2015-05-05,2015-04-27,2015-05-07,-9.17,-4.06,-8.22,-8.14
A,2015-05-28,2015-05-27,2015-05-29,-6.68,-6.5,-6.09,-0.98
A,2015-06-19,2015-06-12,2015-07-08,-32.11,-7.4,-13.8,-13.58
A,2015-07-27,2015-06-12,2015-08-03,-29.87,-8.48,-11.18,-10.14
A,2015-08-18,2015-06-12,2015-08-26,-43.34,-8.49,-19.08,-22.85
A,2015-11-27,2015-08-17,2015-12-11,-14.0,-5.48,-5.55,-5.35
A,2016-01-04,2015-12-22,2016-01-28,-27.28,-7.04,-10.27,-12.54
A,2016-02-25,2015-12-22,2016-02-29,-26.39,-6.41,-8.23,-8.17
A,2018-02-09,2018-01-24,2018-02-09,-12.07,-4.05,-7.14,-9.6
A,2018-10-11,2018-07-24,2018-10-18,-14.43,-5.22,-5.79,-7.6
A,2019-03-08,2019-03-07,2019-03-08,-4.4,-4.4,-2.76,-3.73
A,2019-05-06,2019-04-19,2019-05-09,-12.84,-5.58,-6.0,-9.22
A,2020-02-03,2020-01-13,2020-02-03,-11.84,-7.72,-10.01,-10.69
A,2020-07-16,2020-07-09,2020-07-24,-7.36,-4.5,-6.77,-6.97
A,2022-03-15,2021-12-13,2022-03-15,-16.76,-4.95,-7.04,-6.97
A,2022-04-25,2021-12-31,2022-04-26,-20.7,-5.13,-7.06,-9.63
A,2024-10-09,2024-10-08,2024-10-17,-9.18,-6.62,-7.8,-8.27
A,2025-04-07,2024-12-12,2025-04-07,-10.54,-7.34,-7.52,-7.6
