period,signal,base_n,base_positives,base_rate,alerts,true_positives,precision,lift,recall
开发期2000-2012,宽度弱,3144,84,0.026717557251908396,1509,51,0.033797216699801194,1.2649815393354162,0.6071428571428571
开发期2000-2012,相对强弱恶化,3144,84,0.026717557251908396,138,8,0.057971014492753624,2.1697722567287787,0.09523809523809523
开发期2000-2012,短波动加速,3144,84,0.026717557251908396,240,13,0.05416666666666667,2.0273809523809523,0.15476190476190477
开发期2000-2012,异常日内振幅,3144,84,0.026717557251908396,317,23,0.07255520504731862,2.715637674628211,0.27380952380952384
开发期2000-2012,宽度弱+相对弱,3144,84,0.026717557251908396,95,5,0.05263157894736842,1.9699248120300752,0.05952380952380952
开发期2000-2012,宽度弱+相对弱+波动加速,3144,84,0.026717557251908396,7,0,0.0,0.0,0.0
开发期2000-2012,融资余额20日增幅>=8%,3144,84,0.026717557251908396,377,3,0.007957559681697613,0.29784009094353925,0.03571428571428571
开发期2000-2012,融资扩张+宽度弱,3144,84,0.026717557251908396,196,2,0.01020408163265306,0.3819241982507288,0.023809523809523808
开发期2000-2012,融资扩张+相对弱,3144,84,0.026717557251908396,25,0,0.0,0.0,0.0
验证期2013-2019,宽度弱,1702,37,0.021739130434782608,668,20,0.029940119760479042,1.377245508982036,0.5405405405405406
验证期2013-2019,相对强弱恶化,1702,37,0.021739130434782608,103,7,0.06796116504854369,3.1262135922330097,0.1891891891891892
验证期2013-2019,短波动加速,1702,37,0.021739130434782608,112,5,0.044642857142857144,2.053571428571429,0.13513513513513514
验证期2013-2019,异常日内振幅,1702,37,0.021739130434782608,199,18,0.09045226130653267,4.160804020100503,0.4864864864864865
验证期2013-2019,宽度弱+相对弱,1702,37,0.021739130434782608,65,7,0.1076923076923077,4.953846153846154,0.1891891891891892
验证期2013-2019,宽度弱+相对弱+波动加速,1702,37,0.021739130434782608,22,5,0.22727272727272727,10.454545454545455,0.13513513513513514
验证期2013-2019,融资余额20日增幅>=8%,1702,37,0.021739130434782608,436,12,0.027522935779816515,1.2660550458715598,0.32432432432432434
验证期2013-2019,融资扩张+宽度弱,1702,37,0.021739130434782608,87,5,0.05747126436781609,2.6436781609195403,0.13513513513513514
验证期2013-2019,融资扩张+相对弱,1702,37,0.021739130434782608,32,0,0.0,0.0,0.0
测试期2020-2026,宽度弱,1593,15,0.009416195856873822,777,11,0.014157014157014158,1.5034749034749035,0.7333333333333333
测试期2020-2026,相对强弱恶化,1593,15,0.009416195856873822,110,0,0.0,0.0,0.0
测试期2020-2026,短波动加速,1593,15,0.009416195856873822,97,2,0.020618556701030927,2.1896907216494848,0.13333333333333333
测试期2020-2026,异常日内振幅,1593,15,0.009416195856873822,150,5,0.03333333333333333,3.54,0.3333333333333333
测试期2020-2026,宽度弱+相对弱,1593,15,0.009416195856873822,100,0,0.0,0.0,0.0
测试期2020-2026,宽度弱+相对弱+波动加速,1593,15,0.009416195856873822,10,0,0.0,0.0,0.0
测试期2020-2026,融资余额20日增幅>=8%,1593,15,0.009416195856873822,115,2,0.017391304347826087,1.8469565217391306,0.13333333333333333
测试期2020-2026,融资扩张+宽度弱,1593,15,0.009416195856873822,19,1,0.05263157894736842,5.589473684210526,0.06666666666666667
测试期2020-2026,融资扩张+相对弱,1593,15,0.009416195856873822,7,0,0.0,0.0,0.0
全样本,宽度弱,6439,136,0.021121292126106538,2954,82,0.027758970886932972,1.3142648054482458,0.6029411764705882
全样本,相对强弱恶化,6439,136,0.021121292126106538,351,15,0.042735042735042736,2.0233157365510306,0.11029411764705882
全样本,短波动加速,6439,136,0.021121292126106538,449,20,0.044543429844097995,2.1089348879863747,0.14705882352941177
全样本,异常日内振幅,6439,136,0.021121292126106538,666,46,0.06906906906906907,3.2701157039392332,0.3382352941176471
全样本,宽度弱+相对弱,6439,136,0.021121292126106538,260,12,0.046153846153846156,2.1851809954751134,0.08823529411764706
全样本,宽度弱+相对弱+波动加速,6439,136,0.021121292126106538,39,5,0.1282051282051282,6.069947209653091,0.03676470588235294
全样本,融资余额20日增幅>=8%,6439,136,0.021121292126106538,928,17,0.018318965517241378,0.867322198275862,0.125
全样本,融资扩张+宽度弱,6439,136,0.021121292126106538,302,8,0.026490066225165563,1.2541877678223607,0.058823529411764705
全样本,融资扩张+相对弱,6439,136,0.021121292126106538,64,0,0.0,0.0,0.0
