period,signal,base_rate,alerts,precision,lift,recall
验证2013-2019,代理宽度<=40%,0.0054611650485436895,488,0.010245901639344262,1.8761384335154825,0.5555555555555556
验证2013-2019,相对弱<=-2%,0.0054611650485436895,22,0.045454545454545456,8.323232323232324,0.1111111111111111
验证2013-2019,短波动加速,0.0054611650485436895,156,0.01282051282051282,2.3475783475783474,0.2222222222222222
验证2013-2019,信用弱,0.0054611650485436895,172,0.005813953488372093,1.0645994832041343,0.1111111111111111
验证2013-2019,VIX升>=20%,0.0054611650485436895,132,0.022727272727272728,4.161616161616162,0.3333333333333333
验证2013-2019,VIX期限倒挂,0.0054611650485436895,54,0.018518518518518517,3.390946502057613,0.1111111111111111
验证2013-2019,宽度弱+波动加速,0.0054611650485436895,91,0.0,0.0,0.0
验证2013-2019,信用弱+VIX上升,0.0054611650485436895,57,0.017543859649122806,3.212475633528265,0.1111111111111111
测试2020-2026,代理宽度<=40%,0.011963406052076003,381,0.02099737532808399,1.7551335494827853,0.47058823529411764
测试2020-2026,相对弱<=-2%,0.011963406052076003,74,0.013513513513513514,1.129570747217806,0.058823529411764705
测试2020-2026,短波动加速,0.011963406052076003,106,0.009433962264150943,0.7885682574916759,0.058823529411764705
测试2020-2026,信用弱,0.011963406052076003,96,0.0625,5.224264705882353,0.35294117647058826
测试2020-2026,VIX升>=20%,0.011963406052076003,104,0.028846153846153848,2.4111990950226247,0.17647058823529413
测试2020-2026,VIX期限倒挂,0.011963406052076003,39,0.05128205128205128,4.28657616892911,0.11764705882352941
测试2020-2026,宽度弱+波动加速,0.011963406052076003,54,0.018518518518518517,1.5479302832244008,0.058823529411764705
测试2020-2026,信用弱+VIX上升,0.011963406052076003,20,0.1,8.358823529411765,0.11764705882352941
全样本,代理宽度<=40%,0.008349278135327882,1720,0.012209302325581395,1.4623183139534885,0.4375
全样本,相对弱<=-2%,0.008349278135327882,257,0.011673151750972763,1.398103112840467,0.0625
全样本,短波动加速,0.008349278135327882,408,0.0196078431372549,2.348447712418301,0.16666666666666666
全样本,信用弱,0.008349278135327882,424,0.02358490566037736,2.824783805031447,0.20833333333333334
全样本,VIX升>=20%,0.008349278135327882,329,0.0243161094224924,2.9123606889564337,0.16666666666666666
全样本,VIX期限倒挂,0.008349278135327882,202,0.04455445544554455,5.336324257425742,0.1875
全样本,宽度弱+波动加速,0.008349278135327882,229,0.017467248908296942,2.0920669577874818,0.08333333333333333
全样本,信用弱+VIX上升,0.008349278135327882,108,0.037037037037037035,4.4359567901234565,0.08333333333333333
