market,first_trigger,peak_date,trough_date,peak_to_trough_pct,worst_1d_pct,worst_3d_pct,worst_5d_pct
US,2000-04-14,2000-03-24,2000-04-14,-11.19,-5.83,-9.6,-10.54
US,2001-03-12,2000-12-11,2001-03-22,-19.03,-4.32,-6.48,-7.54
US,2001-09-17,2001-05-24,2001-09-21,-25.32,-4.92,-7.0,-11.6
US,2002-07-22,2002-04-01,2002-07-23,-30.43,-3.84,-9.51,-11.46
US,2002-09-03,2002-05-24,2002-09-17,-19.4,-4.15,-4.34,-7.38
US,2008-09-15,2008-08-11,2008-11-20,-42.36,-9.03,-13.91,-18.34
US,2009-01-20,2008-09-26,2009-01-20,-33.63,-5.28,-5.57,-7.47
US,2009-02-10,2009-01-06,2009-03-09,-27.62,-4.91,-8.38,-10.1
US,2009-04-20,2009-01-06,2009-04-20,-10.95,-4.28,-3.0,-3.07
US,2011-08-04,2011-04-29,2011-08-08,-17.9,-6.66,-11.18,-13.01
US,2015-08-24,2015-05-21,2015-08-25,-12.35,-3.94,-8.96,-10.94
US,2018-02-05,2018-01-26,2018-02-08,-10.16,-4.1,-6.19,-8.54
US,2020-02-25,2020-02-19,2020-03-23,-33.92,-11.98,-12.96,-17.97
US,2020-06-11,2020-02-19,2020-06-11,-11.34,-5.89,-7.12,-5.13
US,2022-05-09,2022-03-29,2022-05-19,-15.78,-4.04,-7.18,-8.49
US,2022-06-13,2022-03-29,2022-06-16,-20.83,-3.88,-8.9,-10.22
US,2022-09-13,2022-08-16,2022-09-27,-15.28,-4.32,-5.09,-6.28
US,2025-04-03,2025-02-19,2025-04-08,-18.9,-5.97,-10.73,-11.54
