period,signal,base_n,base_positives,base_rate,alerts,true_positives,precision,lift,recall
开发期2000-2012,宽度弱,3269,84,0.02569593147751606,1390,68,0.04892086330935252,1.9038369304556355,0.8095238095238095
开发期2000-2012,相对强弱恶化,3269,84,0.02569593147751606,282,21,0.07446808510638298,2.898049645390071,0.25
开发期2000-2012,短波动加速,3269,84,0.02569593147751606,222,14,0.06306306306306306,2.454204204204204,0.16666666666666666
开发期2000-2012,异常日内振幅,3269,84,0.02569593147751606,328,42,0.12804878048780488,4.983231707317073,0.5
开发期2000-2012,宽度弱+相对弱,3269,84,0.02569593147751606,255,21,0.08235294117647059,3.204901960784314,0.25
开发期2000-2012,宽度弱+相对弱+波动加速,3269,84,0.02569593147751606,19,2,0.10526315789473684,4.0964912280701755,0.023809523809523808
开发期2000-2012,信用资产相对弱,3269,84,0.02569593147751606,320,30,0.09375,3.6484375,0.35714285714285715
开发期2000-2012,VIX五日上升>=20%,3269,84,0.02569593147751606,202,14,0.06930693069306931,2.6971947194719474,0.16666666666666666
开发期2000-2012,VIX期限倒挂,3269,84,0.02569593147751606,306,46,0.1503267973856209,5.8502178649237475,0.5476190476190477
开发期2000-2012,信用弱+相对弱,3269,84,0.02569593147751606,40,10,0.25,9.729166666666666,0.11904761904761904
开发期2000-2012,信用弱+VIX上升,3269,84,0.02569593147751606,82,7,0.08536585365853659,3.3221544715447155,0.08333333333333333
验证期2013-2019,宽度弱,1762,12,0.00681044267877412,592,8,0.013513513513513514,1.9842342342342345,0.6666666666666666
验证期2013-2019,相对强弱恶化,1762,12,0.00681044267877412,27,1,0.037037037037037035,5.438271604938271,0.08333333333333333
验证期2013-2019,短波动加速,1762,12,0.00681044267877412,180,2,0.011111111111111112,1.6314814814814815,0.16666666666666666
验证期2013-2019,异常日内振幅,1762,12,0.00681044267877412,170,4,0.023529411764705882,3.454901960784314,0.3333333333333333
验证期2013-2019,宽度弱+相对弱,1762,12,0.00681044267877412,25,1,0.04,5.873333333333334,0.08333333333333333
验证期2013-2019,宽度弱+相对弱+波动加速,1762,12,0.00681044267877412,1,0,0.0,0.0,0.0
验证期2013-2019,信用资产相对弱,1762,12,0.00681044267877412,216,4,0.018518518518518517,2.7191358024691357,0.3333333333333333
验证期2013-2019,VIX五日上升>=20%,1762,12,0.00681044267877412,176,4,0.022727272727272728,3.3371212121212124,0.3333333333333333
验证期2013-2019,VIX期限倒挂,1762,12,0.00681044267877412,130,4,0.03076923076923077,4.517948717948718,0.3333333333333333
验证期2013-2019,信用弱+相对弱,1762,12,0.00681044267877412,6,0,0.0,0.0,0.0
验证期2013-2019,信用弱+VIX上升,1762,12,0.00681044267877412,84,2,0.023809523809523808,3.496031746031746,0.16666666666666666
测试期2020-2026,宽度弱,1652,31,0.018765133171912834,600,21,0.035,1.8651612903225807,0.6774193548387096
测试期2020-2026,相对强弱恶化,1652,31,0.018765133171912834,101,4,0.039603960396039604,2.110507824976046,0.12903225806451613
测试期2020-2026,短波动加速,1652,31,0.018765133171912834,151,12,0.07947019867549669,4.234992522965178,0.3870967741935484
测试期2020-2026,异常日内振幅,1652,31,0.018765133171912834,157,15,0.09554140127388536,5.091432093692212,0.4838709677419355
测试期2020-2026,宽度弱+相对弱,1652,31,0.018765133171912834,82,3,0.036585365853658534,1.9496459480723836,0.0967741935483871
测试期2020-2026,宽度弱+相对弱+波动加速,1652,31,0.018765133171912834,12,2,0.16666666666666666,8.881720430107526,0.06451612903225806
测试期2020-2026,信用资产相对弱,1652,31,0.018765133171912834,158,13,0.08227848101265822,4.3846467946100445,0.41935483870967744
测试期2020-2026,VIX五日上升>=20%,1652,31,0.018765133171912834,168,12,0.07142857142857142,3.806451612903225,0.3870967741935484
测试期2020-2026,VIX期限倒挂,1652,31,0.018765133171912834,119,16,0.13445378151260504,7.1650853889943065,0.5161290322580645
测试期2020-2026,信用弱+相对弱,1652,31,0.018765133171912834,20,2,0.1,5.329032258064516,0.06451612903225806
测试期2020-2026,信用弱+VIX上升,1652,31,0.018765133171912834,48,6,0.125,6.661290322580645,0.1935483870967742
全样本,宽度弱,6683,127,0.019003441568158013,2582,97,0.03756777691711851,1.9768933317882127,0.7637795275590551
全样本,相对强弱恶化,6683,127,0.019003441568158013,410,26,0.06341463414634146,3.337007874015748,0.2047244094488189
全样本,短波动加速,6683,127,0.019003441568158013,553,28,0.05063291139240506,2.664407455397189,0.2204724409448819
全样本,异常日内振幅,6683,127,0.019003441568158013,655,61,0.09312977099236641,4.900679208992005,0.48031496062992124
全样本,宽度弱+相对弱,6683,127,0.019003441568158013,362,25,0.06906077348066299,3.6341192848131554,0.1968503937007874
全样本,宽度弱+相对弱+波动加速,6683,127,0.019003441568158013,32,4,0.125,6.577755905511811,0.031496062992125984
全样本,信用资产相对弱,6683,127,0.019003441568158013,694,47,0.06772334293948126,3.563740951689396,0.3700787401574803
全样本,VIX五日上升>=20%,6683,127,0.019003441568158013,546,30,0.054945054945054944,2.8913212771480485,0.23622047244094488
全样本,VIX期限倒挂,6683,127,0.019003441568158013,555,66,0.11891891891891893,6.2577569695679935,0.5196850393700787
全样本,信用弱+相对弱,6683,127,0.019003441568158013,66,12,0.18181818181818182,9.567644953471726,0.09448818897637795
全样本,信用弱+VIX上升,6683,127,0.019003441568158013,214,15,0.07009345794392523,3.688461255427183,0.11811023622047244
